x exact linear quadratic cubic
4.23089 -0.886301 nan -0.928331 -0.885373
4.26246 -0.900479 nan -0.970415 -0.898743
4.29404 -0.913759 nan -1.00852 -0.911151
4.32561 -0.926129 nan -1.04264 -0.922614
4.35718 -0.937575 nan -1.07278 -0.933145
4.38876 -0.948087 nan -1.09895 -0.94276
4.42033 -0.957653 nan -1.12113 -0.951472
4.45191 -0.966265 nan -1.13932 -0.959299
4.48348 -0.973914 nan -1.15354 -0.966253
4.51505 -0.980592 nan -1.16378 -0.97235
4.54663 -0.986293 nan -1.17004 -0.977605
4.5782 -0.99101 nan -1.17231 -0.982033
4.60977 -0.99474 nan -1.17061 -0.985648
4.64135 -0.997478 nan -1.16492 -0.988466
4.67292 -0.999221 nan -1.15526 -0.9905
4.7045 -0.999969 nan -1.14161 -0.991767
4.73607 -0.99972 nan -1.12398 -0.992281
4.76764 -0.998474 nan -1.10237 -0.992057
4.79922 -0.996233 nan -1.07678 -0.99111
4.83079 -0.992999 nan -1.04721 -0.989454
4.86236 -0.988775 nan -1.01366 -0.987105
4.89394 -0.983565 nan -0.976273 -0.984077
4.92551 -0.977375 nan -0.939148 -0.980362
4.95709 -0.970211 nan -0.904119 -0.975908
4.98866 -0.962079 nan -0.871185 -0.970653
5.02023 -0.952989 nan -0.840348 -0.964538
5.05181 -0.942948 nan -0.811606 -0.957504
5.08338 -0.931968 nan -0.78496 -0.949489
5.11495 -0.920059 nan -0.76041 -0.940435
5.14653 -0.907232 nan -0.737955 -0.930281
5.1781 -0.893501 nan -0.717597 -0.918968
5.20968 -0.87888 nan -0.699334 -0.906436
5.24125 -0.863382 nan -0.683167 -0.892625
5.27282 -0.847024 nan -0.669096 -0.877474
5.3044 -0.829821 nan -0.657121 -0.860925
5.33597 -0.811792 nan -0.647242 -0.842917
5.36755 -0.792953 nan -0.639458 -0.82339
5.39912 -0.773323 nan -0.63377 -0.802285
5.43069 -0.752923 nan -0.630178 -0.779542
5.46227 -0.731772 nan -0.628682 -0.7551
5.49384 -0.709892 nan -0.629282 -0.7289
5.52541 -0.687304 nan -0.631978 -0.700882
5.55699 -0.664031 nan -0.636769 -0.670986
5.58856 -0.640096 nan -0.643623 -0.639153
5.62014 -0.615523 nan -0.649292 -0.605407
5.65171 -0.590337 nan -0.651636 -0.570019
5.68328 -0.564562 nan -0.650653 -0.533301
5.71486 -0.538224 nan -0.646344 -0.495568
5.74643 -0.51135 nan -0.638709 -0.457132
5.778 -0.483966 nan -0.627747 -0.418307
5.80958 -0.456099 nan -0.61346 -0.379407
5.84115 -0.427778 nan -0.595846 -0.340745
5.87273 -0.399031 nan -0.574906 -0.302635
5.9043 -0.369885 nan -0.550639 -0.265389
5.93587 -0.340371 nan -0.523047 -0.229322
5.96745 -0.310518 nan -0.492128 -0.194746
5.99902 -0.280355 nan -0.457883 -0.161976
6.03059 -0.249913 nan -0.420312 -0.131324
6.06217 -0.219222 nan -0.379415 -0.103105
6.09374 -0.188312 nan -0.335191 -0.0776314
6.12532 -0.157214 nan -0.287642 -0.0552167
6.15689 -0.12596 nan -0.236766 -0.0361746
6.18846 -0.0945798 nan -0.182564 -0.0208184
6.22004 -0.0631056 nan -0.125035 -0.00946158
6.25161 -0.0315685 nan -0.0641808 -0.00241764
6.28319 -2.44929e-16 nan 0 0
