t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.08 0.680926 0.356017 0.639993 0.67548 0.360155 0.643441
0.081 0.677234 0.35884 0.64233 0.671336 0.36319 0.646066
0.082 0.673513 0.361607 0.644686 0.667147 0.366161 0.648722
0.083 0.669764 0.364317 0.647063 0.662914 0.369069 0.651409
0.084 0.665985 0.366969 0.649459 0.658636 0.371911 0.654126
0.085 0.66218 0.369563 0.651875 0.654314 0.374686 0.656874
0.086 0.658347 0.372099 0.65431 0.64995 0.377393 0.659651
0.087 0.654488 0.374576 0.656764 0.645543 0.380031 0.662458
0.088 0.650603 0.376994 0.659236 0.641095 0.382599 0.665294
0.089 0.646692 0.379352 0.661726 0.636606 0.385095 0.668157
0.09 0.642757 0.38165 0.664234 0.632078 0.387518 0.671049
0.091 0.638797 0.383888 0.666759 0.627511 0.389868 0.673968
0.092 0.634814 0.386065 0.669302 0.622906 0.392143 0.676913
0.093 0.630808 0.388182 0.671861 0.618265 0.394342 0.679885
0.094 0.626779 0.390236 0.674436 0.613587 0.396463 0.682882
0.095 0.622728 0.392229 0.677027 0.608875 0.398506 0.685904
0.096 0.618656 0.39416 0.679634 0.604129 0.40047 0.68895
0.097 0.614564 0.396028 0.682256 0.599351 0.402354 0.692019
0.098 0.610451 0.397833 0.684893 0.594541 0.404156 0.69511
0.099 0.606318 0.399576 0.687545 0.589702 0.405876 0.698224
0.1 0.602166 0.401255 0.69021 0.584833 0.407513 0.701358
0.101 0.597996 0.402871 0.692889 0.579938 0.409066 0.704512
0.102 0.593808 0.404422 0.695582 0.575016 0.410534 0.707686
0.103 0.589603 0.40591 0.698287 0.570069 0.411916 0.710877
0.104 0.585381 0.407333 0.701005 0.565099 0.413212 0.714086
0.105 0.581143 0.408692 0.703735 0.560107 0.414421 0.717311
0.106 0.57689 0.409986 0.706477 0.555095 0.415542 0.720551
0.107 0.572622 0.411214 0.70923 0.550064 0.416576 0.723805
0.108 0.568339 0.412378 0.711994 0.545015 0.41752 0.727073
0.109 0.564042 0.413476 0.714769 0.539951 0.418376 0.730353
0.11 0.559732 0.414508 0.717553 0.534872 0.419142 0.733643
0.111 0.55541 0.415475 0.720348 0.529781 0.419818 0.736943
0.112 0.551075 0.416375 0.723151 0.524678 0.420404 0.740252
0.113 0.546729 0.41721 0.725964 0.519566 0.4209 0.743569
0.114 0.542372 0.417978 0.728784 0.514446 0.421306 0.746891
0.115 0.538005 0.41868 0.731613 0.509319 0.421622 0.750219
0.116 0.533628 0.419316 0.73445 0.504188 0.421847 0.753551
0.117 0.529241 0.419884 0.737293 0.499053 0.421983 0.756886
0.118 0.524846 0.420386 0.740143 0.493917 0.422028 0.760222
0.119 0.520443 0.420822 0.743 0.488781 0.421984 0.763559
0.12 0.516032 0.42119 0.745862 0.483647 0.42185 0.766895
0.121 0.511614 0.421492 0.748729 0.478516 0.421628 0.770229
0.122 0.50719 0.421726 0.751602 0.473389 0.421318 0.77356
0.123 0.502759 0.421894 0.754479 0.468268 0.420919 0.776886
0.124 0.498324 0.421995 0.75736 0.463155 0.420433 0.780207
0.125 0.493883 0.422028 0.760245 0.458051 0.419861 0.783522
0.126 0.489438 0.421995 0.763132 0.452957 0.419203 0.786828
0.127 0.484989 0.421894 0.766023 0.447875 0.41846 0.790126
0.128 0.480537 0.421726 0.768915 0.442806 0.417632 0.793414
0.129 0.476082 0.421492 0.77181 0.437751 0.416722 0.796691
0.13 0.471625 0.42119 0.774706 0.432712 0.415729 0.799956
0.131 0.467166 0.420822 0.777602 0.42769 0.414654 0.803208
0.132 0.462706 0.420386 0.780499 0.422686 0.4135 0.806446
0.133 0.458245 0.419884 0.783396 0.4177 0.412266 0.809669
0.134 0.453783 0.419316 0.786292 0.412734 0.410954 0.812876
0.135 0.449322 0.41868 0.789187 0.40779 0.409565 0.816066
0.136 0.444862 0.417978 0.792081 0.402867 0.4081 0.819239
0.137 0.440402 0.41721 0.794973 0.397968 0.406561 0.822393
0.138 0.435945 0.416375 0.797862 0.393092 0.404949 0.825527
0.139 0.431489 0.415475 0.800748 0.38824 0.403264 0.828642
0.14 0.427036 0.414508 0.803631 0.383413 0.401508 0.831736
0.141 0.422585 0.413476 0.806511 0.378613 0.399683 0.834809
0.142 0.418138 0.412378 0.809385 0.373839 0.39779 0.837859
0.143 0.413695 0.411214 0.812255 0.369092 0.39583 0.840886
0.144 0.409256 0.409986 0.81512 0.364373 0.393804 0.84389
0.145 0.404822 0.408692 0.817979 0.359682 0.391714 0.84687
0.146 0.400393 0.407333 0.820832 0.355019 0.389561 0.849826
0.147 0.395969 0.40591 0.823678 0.350386 0.387346 0.852756
0.148 0.391551 0.404422 0.826517 0.345782 0.385071 0.855661
0.149 0.38714 0.402871 0.829348 0.341207 0.382737 0.85854
0.15 0.382735 0.401255 0.832171 0.336663 0.380345 0.861392
0.151 0.378337 0.399576 0.834985 0.332148 0.377896 0.864217
0.152 0.373946 0.397833 0.83779 0.327665 0.375393 0.867016
0.153 0.369563 0.396028 0.840586 0.323211 0.372835 0.869786
0.154 0.365188 0.39416 0.843372 0.318789 0.370225 0.872529
0.155 0.360822 0.392229 0.846147 0.314397 0.367564 0.875244
0.156 0.356464 0.390236 0.848911 0.310036 0.364852 0.87793
0.157 0.352115 0.388182 0.851663 0.305706 0.362092 0.880587
0.158 0.347776 0.386065 0.854404 0.301406 0.359283 0.883216
0.159 0.343446 0.383888 0.857132 0.297138 0.356428 0.885815
0.16 0.339126 0.38165 0.859847 0.2929 0.353528 0.888385
0.161 0.334816 0.379352 0.862549 0.288693 0.350583 0.890925
0.162 0.330517 0.376994 0.865236 0.284517 0.347595 0.893436
0.163 0.326229 0.374576 0.86791 0.280371 0.344565 0.895917
0.164 0.321951 0.372099 0.870569 0.276255 0.341494 0.898368
0.165 0.317685 0.369563 0.873212 0.272169 0.338383 0.900789
0.166 0.31343 0.366969 0.87584 0.268114 0.335233 0.90318
0.167 0.309187 0.364317 0.878451 0.264088 0.332045 0.90554
0.168 0.304956 0.361607 0.881046 0.260092 0.328821 0.907871
0.169 0.300737 0.35884 0.883624 0.256125 0.32556 0.910171
0.17 0.296531 0.356017 0.886184 0.252187 0.322264 0.91244
0.171 0.292337 0.353137 0.888726 0.248278 0.318934 0.91468
0.172 0.288155 0.350202 0.891249 0.244398 0.315571 0.916889
0.173 0.283987 0.347211 0.893754 0.240545 0.312176 0.919067
0.174 0.279831 0.344166 0.896239 0.236721 0.30875 0.921215
0.175 0.275689 0.341067 0.898704 0.232924 0.305293 0.923332
0.176 0.27156 0.337913 0.901149 0.229154 0.301806 0.92542
0.177 0.267444 0.334707 0.903573 0.225412 0.29829 0.927476
0.178 0.263342 0.331448 0.905976 0.221696 0.294746 0.929503
0.179 0.259254 0.328136 0.908358 0.218007 0.291175 0.931499
0.18 0.255179 0.324774 0.910717 0.214343 0.287577 0.933465
0.181 0.251118 0.32136 0.913054 0.210705 0.283953 0.9354
0.182 0.247072 0.317895 0.915368 0.207092 0.280304 0.937306
0.183 0.243039 0.31438 0.917658 0.203504 0.276631 0.939181
0.184 0.23902 0.310816 0.919925 0.199941 0.272934 0.941026
0.185 0.235015 0.307204 0.922168 0.196402 0.269214 0.942842
0.186 0.231025 0.303543 0.924386 0.192886 0.265471 0.944627
0.187 0.227049 0.299834 0.926579 0.189394 0.261707 0.946382
0.188 0.223086 0.296078 0.928747 0.185925 0.257921 0.948108
0.189 0.219139 0.292276 0.930888 0.182479 0.254115 0.949804
0.19 0.215205 0.288428 0.933004 0.179055 0.250288 0.95147
0.191 0.211285 0.284535 0.935093 0.175653 0.246443 0.953107
0.192 0.20738 0.280597 0.937155 0.172272 0.242578 0.954714
0.193 0.203489 0.276615 0.939189 0.168912 0.238695 0.956291
0.194 0.199611 0.27259 0.941196 0.165574 0.234794 0.95784
0.195 0.195748 0.268522 0.943175 0.162255 0.230876 0.959359
0.196 0.191899 0.264412 0.945125 0.158956 0.226941 0.960849
0.197 0.188064 0.26026 0.947046 0.155677 0.22299 0.96231
0.198 0.184243 0.256068 0.948938 0.152417 0.219023 0.963742
0.199 0.180435 0.251836 0.950801 0.149176 0.215041 0.965145
0.2 0.176641 0.247565 0.952633 0.145953 0.211043 0.966519
0.201 0.172861 0.243254 0.954435 0.142749 0.207032 0.967864
0.202 0.169094 0.238906 0.956207 0.139562 0.203006 0.969181
0.203 0.165341 0.234521 0.957947 0.136392 0.198967 0.970469
0.204 0.1616 0.230098 0.959656 0.133239 0.194914 0.971728
0.205 0.157873 0.22564 0.961334 0.130102 0.190849 0.972959
0.206 0.154159 0.221147 0.962979 0.126982 0.186772 0.974162
0.207 0.150457 0.216619 0.964593 0.123877 0.182682 0.975337
0.208 0.146768 0.212057 0.966173 0.120787 0.178581 0.976483
0.209 0.143092 0.207462 0.967721 0.117713 0.174469 0.977601
0.21 0.139427 0.202835 0.969236 0.114653 0.170346 0.978691
0.211 0.135775 0.198177 0.970717 0.111607 0.166213 0.979754
0.212 0.132134 0.193487 0.972164 0.108575 0.162069 0.980788
0.213 0.128506 0.188767 0.973578 0.105557 0.157916 0.981795
0.214 0.124888 0.184018 0.974957 0.102551 0.153753 0.982773
0.215 0.121282 0.17924 0.976301 0.0995582 0.149581 0.983724
0.216 0.117687 0.174434 0.977611 0.0965777 0.1454 0.984648
0.217 0.114103 0.169602 0.978885 0.0936092 0.141211 0.985544
0.218 0.110529 0.164742 0.980124 0.0906522 0.137013 0.986412
0.219 0.106965 0.159857 0.981328 0.0877064 0.132808 0.987254
0.22 0.103412 0.154948 0.982495 0.0847715 0.128595 0.988067
0.221 0.099868 0.150014 0.983627 0.081847 0.124375 0.988854
0.222 0.0963337 0.145056 0.984722 0.0789327 0.120148 0.989613
0.223 0.0928087 0.140077 0.985781 0.0760281 0.115914 0.990345
0.224 0.0892926 0.135075 0.986804 0.0731329 0.111673 0.99105
0.225 0.0857852 0.130053 0.987789 0.0702468 0.107427 0.991728
0.226 0.0822862 0.12501 0.988737 0.0673693 0.103175 0.992379
0.227 0.0787953 0.119948 0.989648 0.0645002 0.0989167 0.993003
0.228 0.0753121 0.114867 0.990522 0.061639 0.0946534 0.9936
0.229 0.0718365 0.109768 0.991358 0.0587854 0.090385 0.99417
0.23 0.068368 0.104653 0.992156 0.0559391 0.0861118 0.994714
0.231 0.0649064 0.0995206 0.992916 0.0530997 0.081834 0.99523
0.232 0.0614514 0.0943732 0.993638 0.0502668 0.0775519 0.99572
0.233 0.0580026 0.0892112 0.994322 0.0474402 0.0732656 0.996184
0.234 0.0545597 0.0840354 0.994968 0.0446194 0.0689755 0.99662
0.235 0.0511224 0.0788465 0.995575 0.0418041 0.0646818 0.99703
0.236 0.0476903 0.0736453 0.996144 0.038994 0.0603848 0.997413
0.237 0.0442631 0.0684328 0.996673 0.0361886 0.0560845 0.99777
0.238 0.0408405 0.0632096 0.997164 0.0333877 0.0517814 0.9981
0.239 0.0374222 0.0579766 0.997616 0.030591 0.0474756 0.998404
0.24 0.0340077 0.0527347 0.998029 0.027798 0.0431674 0.998681
0.241 0.0305968 0.0474845 0.998403 0.0250085 0.038857 0.998932
0.242 0.0271891 0.042227 0.998738 0.022222 0.0345445 0.999156
0.243 0.0237842 0.036963 0.999034 0.0194383 0.0302303 0.999354
0.244 0.0203818 0.0316932 0.99929 0.0166569 0.0259145 0.999525
0.245 0.0169816 0.0264185 0.999507 0.0138776 0.0215975 0.99967
0.246 0.0135831 0.0211397 0.999684 0.0111 0.0172793 0.999789
0.247 0.0101861 0.0158577 0.999822 0.00832384 0.0129602 0.999881
0.248 0.00679012 0.0105731 0.999921 0.00554866 0.00864053 0.999947
0.249 0.00339488 0.00528698 0.99998 0.00277416 0.00432037 0.999987
0.25 7.99361e-15 1.16795e-13 1 1.18794e-13 1.34115e-13 1
0.251 -0.00339488 -0.00528698 0.99998 -0.00277416 -0.00432037 0.999987
0.252 -0.00679012 -0.0105731 0.999921 -0.00554866 -0.00864053 0.999947
0.253 -0.0101861 -0.0158577 0.999822 -0.00832384 -0.0129602 0.999881
0.254 -0.0135831 -0.0211397 0.999684 -0.0111 -0.0172793 0.999789
0.255 -0.0169816 -0.0264185 0.999507 -0.0138776 -0.0215975 0.99967
0.256 -0.0203818 -0.0316932 0.99929 -0.0166569 -0.0259145 0.999525
0.257 -0.0237842 -0.036963 0.999034 -0.0194383 -0.0302303 0.999354
0.258 -0.0271891 -0.042227 0.998738 -0.022222 -0.0345445 0.999156
0.259 -0.0305968 -0.0474845 0.998403 -0.0250085 -0.038857 0.998932
0.26 -0.0340077 -0.0527347 0.998029 -0.027798 -0.0431674 0.998681
0.261 -0.0374222 -0.0579766 0.997616 -0.030591 -0.0474756 0.998404
0.262 -0.0408405 -0.0632096 0.997164 -0.0333877 -0.0517814 0.9981
0.263 -0.0442631 -0.0684328 0.996673 -0.0361886 -0.0560845 0.99777
0.264 -0.0476903 -0.0736453 0.996144 -0.038994 -0.0603848 0.997413
0.265 -0.0511224 -0.0788465 0.995575 -0.0418041 -0.0646818 0.99703
0.266 -0.0545597 -0.0840354 0.994968 -0.0446194 -0.0689755 0.99662
0.267 -0.0580026 -0.0892112 0.994322 -0.0474402 -0.0732656 0.996184
0.268 -0.0614514 -0.0943732 0.993638 -0.0502668 -0.0775519 0.99572
0.269 -0.0649064 -0.0995206 0.992916 -0.0530997 -0.081834 0.99523
0.27 -0.068368 -0.104653 0.992156 -0.0559391 -0.0861118 0.994714
0.271 -0.0718365 -0.109768 0.991358 -0.0587854 -0.090385 0.99417
0.272 -0.0753121 -0.114867 0.990522 -0.061639 -0.0946534 0.9936
0.273 -0.0787953 -0.119948 0.989648 -0.0645002 -0.0989167 0.993003
0.274 -0.0822862 -0.12501 0.988737 -0.0673693 -0.103175 0.992379
0.275 -0.0857852 -0.130053 0.987789 -0.0702468 -0.107427 0.991728
0.276 -0.0892926 -0.135075 0.986804 -0.0731329 -0.111673 0.99105
