x exact spline
-1 0.0384615 0.0384615
-0.997998 0.03861 0.038638
-0.995996 0.0387594 0.0388145
-0.993994 0.0389096 0.038991
-0.991992 0.0390607 0.0391676
-0.98999 0.0392126 0.0393442
-0.987988 0.0393654 0.0395209
-0.985986 0.0395191 0.0396977
-0.983984 0.0396737 0.0398746
-0.981982 0.0398292 0.0400517
-0.97998 0.0399856 0.0402289
-0.977978 0.0401429 0.0404062
-0.975976 0.0403011 0.0405838
-0.973974 0.0404602 0.0407615
-0.971972 0.0406203 0.0409395
-0.96997 0.0407813 0.0411177
-0.967968 0.0409433 0.0412961
-0.965966 0.0411062 0.0414748
-0.963964 0.04127 0.0416538
-0.961962 0.0414349 0.0418331
-0.95996 0.0416007 0.0420127
-0.957958 0.0417675 0.0421926
-0.955956 0.0419352 0.0423728
-0.953954 0.042104 0.0425535
-0.951952 0.0422738 0.0427345
-0.94995 0.0424446 0.0429159
-0.947948 0.0426164 0.0430977
-0.945946 0.0427893 0.0432799
-0.943944 0.0429632 0.0434626
-0.941942 0.0431381 0.0436457
-0.93994 0.0433141 0.0438294
-0.937938 0.0434911 0.0440135
-0.935936 0.0436693 0.0441981
-0.933934 0.0438485 0.0443832
-0.931932 0.0440288 0.0445689
-0.92993 0.0442101 0.0447552
-0.927928 0.0443926 0.044942
-0.925926 0.0445763 0.0451294
-0.923924 0.044761 0.0453175
-0.921922 0.0449468 0.0455061
-0.91992 0.0451339 0.0456954
-0.917918 0.045322 0.0458854
-0.915916 0.0455113 0.046076
-0.913914 0.0457018 0.0462673
-0.911912 0.0458935 0.0464593
-0.90991 0.0460863 0.0466521
-0.907908 0.0462804 0.0468456
-0.905906 0.0464757 0.0470398
-0.903904 0.0466721 0.0472348
-0.901902 0.0468699 0.0474306
-0.8999 0.0470688 0.0476273
-0.897898 0.047269 0.0478247
-0.895896 0.0474705 0.048023
-0.893894 0.0476732 0.0482221
-0.891892 0.0478772 0.0484221
-0.88989 0.0480825 0.048623
-0.887888 0.0482891 0.0488248
-0.885886 0.048497 0.0490275
-0.883884 0.0487062 0.0492312
-0.881882 0.0489168 0.0494358
-0.87988 0.0491287 0.0496414
-0.877878 0.0493419 0.0498479
-0.875876 0.0495566 0.0500555
-0.873874 0.0497726 0.0502641
-0.871872 0.04999 0.0504737
-0.86987 0.0502088 0.0506844
-0.867868 0.050429 0.0508962
-0.865866 0.0506506 0.051109
-0.863864 0.0508737 0.0513229
-0.861862 0.0510982 0.051538
-0.85986 0.0513242 0.0517542
-0.857858 0.0515517 0.0519715
-0.855856 0.0517807 0.05219
-0.853854 0.0520111 0.0524097
-0.851852 0.0522431 0.0526306
-0.84985 0.0524766 0.0528527
-0.847848 0.0527116 0.0530761
-0.845846 0.0529482 0.0533007
-0.843844 0.0531864 0.0535266
-0.841842 0.0534261 0.0537537
-0.83984 0.0536674 0.0539822
-0.837838 0.0539104 0.0542119
-0.835836 0.0541549 0.054443
-0.833834 0.0544011 0.0546755
-0.831832 0.054649 0.0549093
-0.82983 0.0548985 0.0551445
-0.827828 0.0551497 0.0553811
-0.825826 0.0554026 0.0556191
-0.823824 0.0556572 0.0558585
-0.821822 0.0559135 0.0560994
-0.81982 0.0561715 0.0563417
-0.817818 0.0564313 0.0565856
-0.815816 0.0566929 0.0568309
-0.813814 0.0569563 0.0570777
-0.811812 0.0572215 0.0573261
-0.80981 0.0574885 0.057576
-0.807808 0.0577573 0.0578275
-0.805806 0.0580279 0.0580806
-0.803804 0.0583005 0.0583352
-0.801802 0.0585749 0.0585915
-0.7998 0.0588512 0.0588494
-0.797798 0.0591295 0.0591089
-0.795796 0.0594097 0.0593702
-0.793794 0.0596918 0.0596332
-0.791792 0.0599759 0.0598979
-0.78979 0.060262 0.0601645
-0.787788 0.0605501 0.0604329
-0.785786 0.0608403 0.0607032
-0.783784 0.0611324 0.0609755
-0.781782 0.0614267 0.0612498
-0.77978 0.061723 0.0615261
-0.777778 0.0620214 0.0618045
-0.775776 0.062322 0.062085
-0.773774 0.0626247 0.0623677
-0.771772 0.0629295 0.0626526
-0.76977 0.0632366 0.0629397
-0.767768 0.0635458 0.0632291
-0.765766 0.0638572 0.0635209
-0.763764 0.0641709 0.063815
-0.761762 0.0644869 0.0641116
-0.75976 0.0648052 0.0644106
-0.757758 0.0651257 0.0647122
-0.755756 0.0654486 0.0650162
-0.753754 0.0657738 0.0653229
