x,y
-1.260774,1.499038
-1.256956,1.503316
-1.252926,1.507945
-1.248679,1.512936
-1.244209,1.518295
-1.239513,1.524033
-1.234583,1.530157
-1.229416,1.536677
-1.224006,1.543600
-1.218347,1.550936
-1.212436,1.558692
-1.204427,1.564257
-1.196800,1.569512
-1.189545,1.574463
-1.182654,1.579117
-1.176121,1.583479
-1.169937,1.587557
-1.164095,1.591355
-1.158586,1.594882
-1.153404,1.598143
-1.148539,1.601144
-1.143986,1.603892
-1.139735,1.606393
-1.135778,1.608654
-1.132110,1.610680
-1.128720,1.612479
-1.125603,1.614056
-1.122749,1.615417
-1.120151,1.616570
-1.117802,1.617520
-1.115694,1.618274
-1.113818,1.618838
-1.112167,1.619218
-1.110734,1.619421
-1.109511,1.619454
-1.108489,1.619321
-1.107661,1.619031
-1.107020,1.618588
-1.106557,1.618000
-1.106265,1.617272
-1.106136,1.616412
-1.106162,1.615425
-1.106336,1.614318
-1.106649,1.613096
-1.107094,1.611768
-1.107664,1.610337
-1.108350,1.608812
-1.109145,1.607199
-1.110040,1.605502
-1.111029,1.603730
-1.112103,1.601889
-1.113255,1.599984
-1.114476,1.598022
-1.115760,1.596009
-1.117098,1.593953
-1.118483,1.591858
-1.119906,1.589731
-1.121361,1.587579
-1.122839,1.585408
-1.124332,1.583225
-1.125833,1.581035
-1.127334,1.578845
-1.128827,1.576662
-1.130305,1.574491
-1.131760,1.572339
-1.133183,1.570213
-1.134568,1.568118
-1.135906,1.566061
-1.137190,1.564048
-1.138411,1.562086
-1.139563,1.560181
-1.140637,1.558340
-1.141626,1.556568
-1.142522,1.554872
-1.143316,1.553258
-1.144002,1.551733
-1.144572,1.550303
-1.145017,1.548974
-1.145331,1.547753
-1.145504,1.546645
-1.145530,1.545658
-1.145401,1.544798
-1.145109,1.544070
-1.144646,1.543482
-1.144005,1.543040
-1.143177,1.542749
-1.142156,1.542617
-1.140932,1.542649
-1.139499,1.542852
-1.137848,1.543232
-1.135973,1.543796
-1.133864,1.544550
-1.131515,1.545500
-1.128917,1.546653
-1.126063,1.548015
-1.122946,1.549592
-1.119556,1.551390
-1.115888,1.553416
-1.111932,1.555677
-1.107681,1.558178
-1.103127,1.560926
-1.098262,1.563927
-1.093080,1.567188
-1.087571,1.570715
-1.081729,1.574514
-1.075545,1.578591
-1.069012,1.582953
-1.062122,1.587607
-1.054866,1.592558
-1.047239,1.597813
-1.039230,1.603378
-1.029915,1.606266
-1.021059,1.608988
-1.012653,1.611550
-1.004688,1.613953
-0.997155,1.616202
-0.990044,1.618300
-0.983345,1.620249
-0.977050,1.622055
-0.971148,1.623719
-0.965632,1.625245
-0.960490,1.626637
-0.955714,1.627898
-0.951295,1.629031
-0.947222,1.630040
-0.943488,1.630927
-0.940082,1.631698
-0.936994,1.632353
-0.934216,1.632898
-0.931738,1.633336
-0.929552,1.633669
-0.927646,1.633902
-0.926012,1.634036
-0.924641,1.634077
-0.923524,1.634027
-0.922650,1.633890
-0.922011,1.633669
-0.921596,1.633367
-0.921398,1.632988
-0.921406,1.632535
-0.921611,1.632011
-0.922003,1.631420
-0.922574,1.630765
-0.923313,1.630050
-0.924212,1.629277
-0.925261,1.628451
-0.926451,1.627575
-0.927772,1.626651
-0.929215,1.625683
-0.930771,1.624676
-0.932429,1.623631
-0.934182,1.622553
-0.936019,1.621444
-0.937931,1.620309
-0.939909,1.619150
-0.941942,1.617971
-0.944023,1.616775
-0.946142,1.615566
-0.948288,1.614346
-0.950453,1.613120
-0.952628,1.611891
-0.954803,1.610661
-0.956968,1.609435
-0.959114,1.608216
-0.961233,1.607006
-0.963313,1.605810
-0.965347,1.604631
-0.967325,1.603472
-0.969237,1.602337
-0.971074,1.601228
-0.972826,1.600150
-0.974485,1.599106
-0.976041,1.598098
-0.977484,1.597131
-0.978805,1.596207
-0.979994,1.595330
-0.981044,1.594504
-0.981942,1.593732
-0.982682,1.593016
-0.983253,1.592361
-0.983645,1.591771
-0.983850,1.591247
-0.983858,1.590794
-0.983659,1.590414
-0.983245,1.590112
-0.982606,1.589891
-0.981732,1.589754
-0.980614,1.589704
-0.979244,1.589745
-0.977610,1.589880
-0.975704,1.590112
-0.973517,1.590446
-0.971040,1.590883
-0.968262,1.591428
-0.965174,1.592084
-0.961768,1.592854
-0.958033,1.593742
-0.953961,1.594750
-0.949542,1.595884
-0.944766,1.597144
-0.939624,1.598536
-0.934108,1.600063
-0.928206,1.601727
-0.921911,1.603532
