x,y
0.000000,6.670000
0.043000,6.423923
0.086000,6.188673
0.129000,5.964051
0.172000,5.749861
0.215000,5.545907
0.258000,5.351996
0.301000,5.167938
0.344000,4.993545
0.387000,4.828630
0.430000,4.673009
0.473000,4.526499
0.516000,4.388920
0.559000,4.260094
0.602000,4.139845
0.645000,4.027998
0.688000,3.924382
0.731000,3.828826
0.774000,3.741162
0.817000,3.661223
0.860000,3.588846
0.903000,3.523867
0.946000,3.466127
0.989000,3.415467
1.032000,3.371729
1.075000,3.334760
1.118000,3.304406
1.161000,3.280516
1.204000,3.262941
1.247000,3.251533
1.290000,3.246147
1.333000,3.246638
1.376000,3.252866
1.419000,3.264689
1.462000,3.281968
1.505000,3.304568
1.548000,3.332353
1.591000,3.365190
1.634000,3.402947
1.677000,3.445494
1.720000,3.492704
1.763000,3.544449
1.806000,3.600605
1.849000,3.661048
1.892000,3.725657
1.935000,3.794312
1.978000,3.866895
2.021000,3.943289
2.064000,4.023378
2.107000,4.107050
2.150000,4.194192
2.193000,4.284694
2.236000,4.378447
2.279000,4.475343
2.322000,4.575278
2.365000,4.678145
2.408000,4.783844
2.451000,4.892271
2.494000,5.003328
2.537000,5.116916
2.580000,5.232938
2.623000,5.351299
2.666000,5.471904
2.709000,5.594661
2.752000,5.719479
2.795000,5.846268
2.838000,5.974939
2.881000,6.105405
2.924000,6.237581
2.967000,6.371381
3.010000,6.506724
3.053000,6.643527
3.096000,6.781710
3.139000,6.921194
3.182000,7.061902
3.225000,7.203755
3.268000,7.346681
3.311000,7.490603
3.354000,7.635450
3.397000,7.781151
3.440000,7.927634
3.483000,8.074832
3.526000,8.222675
3.569000,8.371098
3.612000,8.520036
3.655000,8.669423
3.698000,8.819197
3.741000,8.969296
3.784000,9.119659
3.827000,9.270227
3.870000,9.420940
3.913000,9.571743
3.956000,9.722578
3.999000,9.873390
4.042000,10.024125
4.085000,10.174730
4.128000,10.325153
4.171000,10.475344
4.214000,10.625252
4.257000,10.774829
4.300000,10.924027
4.343000,11.072798
4.386000,11.221098
4.429000,11.368882
4.472000,11.516105
4.515000,11.662726
4.558000,11.808701
4.601000,11.953991
4.644000,12.098556
4.687000,12.242355
4.730000,12.385353
4.773000,12.527510
4.816000,12.668791
4.859000,12.809162
4.902000,12.948586
4.945000,13.087032
4.988000,13.224465
5.031000,13.360855
5.074000,13.496170
5.117000,13.630381
5.160000,13.763458
5.203000,13.895372
5.246000,14.026096
5.289000,14.155604
5.332000,14.283869
5.375000,14.410866
5.418000,14.536570
5.461000,14.660959
5.504000,14.784009
5.547000,14.905698
5.590000,15.026004
5.633000,15.144908
5.676000,15.262388
5.719000,15.378427
5.762000,15.493005
5.805000,15.606105
5.848000,15.717710
5.891000,15.827803
5.934000,15.936369
5.977000,16.043393
6.020000,16.148860
6.063000,16.252757
6.106000,16.355070
6.149000,16.455788
6.192000,16.554898
6.235000,16.652389
6.278000,16.748252
6.321000,16.842475
6.364000,16.935050
6.407000,17.025968
6.450000,17.115220
6.493000,17.202800
6.536000,17.288700
6.579000,17.372914
6.622000,17.455435
6.665000,17.536260
6.708000,17.615381
6.751000,17.692797
6.794000,17.768502
6.837000,17.842494
6.880000,17.914769
6.923000,17.985326
6.966000,18.054163
7.009000,18.121279
7.052000,18.186672
7.095000,18.250343
7.138000,18.312292
7.181000,18.372519
7.224000,18.431025
7.267000,18.487812
7.310000,18.542882
7.353000,18.596237
7.396000,18.647880
7.439000,18.697815
7.482000,18.746044
7.525000,18.792572
7.568000,18.837404
7.611000,18.880543
7.654000,18.921996
7.697000,18.961767
7.740000,18.999863
7.783000,19.036290
7.826000,19.071055
7.869000,19.104164
7.912000,19.135625
7.955000,19.165446
7.998000,19.193633
8.041000,19.220197
8.084000,19.245145
8.127000,19.268486
8.170000,19.290230
8.213000,19.310385
8.256000,19.328963
8.299000,19.345972
8.342000,19.361423
8.385000,19.375327
8.428000,19.387694
8.471000,19.398537
8.514000,19.407865
8.557000,19.415692
8.600000,19.422028
8.643000,19.426886
8.686000,19.430278
8.729000,19.432216
8.772000,19.432714
8.815000,19.431785
8.858000,19.429441
8.901000,19.425697
8.944000,19.420565
8.987000,19.414059
9.030000,19.406194
9.073000,19.396983
9.116000,19.386441
9.159000,19.374582
9.202000,19.361421
9.245000,19.346973
9.288000,19.331253
9.331000,19.314275
9.374000,19.296055
9.417000,19.276609
9.460000,19.255951
9.503000,19.234098
9.546000,19.211065
9.589000,19.186868
9.632000,19.161523
9.675000,19.135046
9.718000,19.107453
9.761000,19.078760
9.804000,19.048985
9.847000,19.018143
9.890000,18.986250
9.933000,18.953324
9.976000,18.919381
10.019000,18.884438
10.062000,18.848511
10.105000,18.811617
10.148000,18.773774
10.191000,18.734999
10.234000,18.695307
10.277000,18.654717
10.320000,18.613245
10.363000,18.570908
10.406000,18.527725
10.449000,18.483711
10.492000,18.438883
10.535000,18.393260
10.578000,18.346859
10.621000,18.299696
10.664000,18.251788
10.707000,18.203154
10.750000,18.153809
10.793000,18.103772
10.836000,18.053060
10.879000,18.001689
10.922000,17.949677
10.965000,17.897040
11.008000,17.843797
11.051000,17.789964
11.094000,17.735558
11.137000,17.680596
11.180000,17.625095
11.223000,17.569071
11.266000,17.512543
11.309000,17.455526
11.352000,17.398037
11.395000,17.340093
11.438000,17.281710
11.481000,17.222906
11.524000,17.163696
11.567000,17.104097
11.610000,17.044125
11.653000,16.983797
11.696000,16.923128
11.739000,16.862135
11.782000,16.800834
11.825000,16.739240
11.868000,16.677369
11.911000,16.615238
11.954000,16.552861
11.997000,16.490255
12.040000,16.427434
12.083000,16.364414
12.126000,16.301210
12.169000,16.237837
12.212000,16.174310
12.255000,16.110644
12.298000,16.046853
12.341000,15.982953
12.384000,15.918958
12.427000,15.854881
12.470000,15.790737
12.513000,15.726541
12.556000,15.662306
12.599000,15.598045
12.642000,15.533774
12.685000,15.469504
12.728000,15.405250
12.771000,15.341024
12.814000,15.276841
12.857000,15.212712
12.900000,15.148650
12.943000,15.084668
12.986000,15.020779
13.029000,14.956995
13.072000,14.893327
13.115000,14.829789
13.158000,14.766391
13.201000,14.703146
13.244000,14.640064
13.287000,14.577158
13.330000,14.514438
13.373000,14.451915
13.416000,14.389601
13.459000,14.327505
13.502000,14.265638
13.545000,14.204011
13.588000,14.142633
13.631000,14.081515
13.674000,14.020666
13.717000,13.960096
13.760000,13.899814
13.803000,13.839829
13.846000,13.780150
13.889000,13.720787
13.932000,13.661747
13.975000,13.603040
14.018000,13.544673
14.061000,13.486654
14.104000,13.428992
14.147000,13.371694
14.190000,13.314767
14.233000,13.258220
14.276000,13.202058
14.319000,13.146288
14.362000,13.090919
14.405000,13.035955
14.448000,12.981403
14.491000,12.927270
14.534000,12.873562
14.577000,12.820283
14.620000,12.767440
14.663000,12.715038
14.706000,12.663081
14.749000,12.611576
14.792000,12.560526
14.835000,12.509937
14.878000,12.459812
14.921000,12.410155
14.964000,12.360971
15.007000,12.312263
15.050000,12.264035
15.093000,12.216290
15.136000,12.169032
15.179000,12.122262
15.222000,12.075984
15.265000,12.030200
15.308000,11.984913
15.351000,11.940125
15.394000,11.895838
15.437000,11.852053
15.480000,11.808772
15.523000,11.765996
15.566000,11.723726
15.609000,11.681964
15.652000,11.640710
15.695000,11.599965
15.738000,11.559728
15.781000,11.520001
15.824000,11.480783
15.867000,11.442073
15.910000,11.403872
15.953000,11.366179
15.996000,11.328992
16.039000,11.292312
16.082000,11.256137
16.125000,11.220465
16.168000,11.185294
16.211000,11.150624
16.254000,11.116453
16.297000,11.082777
16.340000,11.049595
16.383000,11.016904
16.426000,10.984703
16.469000,10.952987
16.512000,10.921753
16.555000,10.891000
16.598000,10.860723
16.641000,10.830919
16.684000,10.801583
16.727000,10.772713
16.770000,10.744305
16.813000,10.716353
16.856000,10.688854
16.899000,10.661803
16.942000,10.635195
16.985000,10.609026
17.028000,10.583291
17.071000,10.557984
17.114000,10.533100
17.157000,10.508634
17.200000,10.484580
17.243000,10.460932
17.286000,10.437685
17.329000,10.414832
17.372000,10.392367
17.415000,10.370283
17.458000,10.348575
17.501000,10.327236
17.544000,10.306259
17.587000,10.285637
17.630000,10.265363
17.673000,10.245431
17.716000,10.225832
17.759000,10.206559
17.802000,10.187605
17.845000,10.168963
17.888000,10.150625
17.931000,10.132582
17.974000,10.114827
18.017000,10.097352
18.060000,10.080149
18.103000,10.063210
18.146000,10.046525
18.189000,10.030088
18.232000,10.013889
18.275000,9.997919
18.318000,9.982171
18.361000,9.966635
18.404000,9.951302
18.447000,9.936164
18.490000,9.921212
18.533000,9.906436
18.576000,9.891827
18.619000,9.877377
18.662000,9.863076
18.705000,9.848914
18.748000,9.834883
18.791000,9.820973
18.834000,9.807174
18.877000,9.793477
18.920000,9.779873
18.963000,9.766352
19.006000,9.752904
19.049000,9.739520
19.092000,9.726191
19.135000,9.712905
19.178000,9.699655
19.221000,9.686430
19.264000,9.673220
19.307000,9.660016
19.350000,9.646809
19.393000,9.633587
19.436000,9.620343
19.479000,9.607065
19.522000,9.593745
19.565000,9.580373
19.608000,9.566939
19.651000,9.553434
19.694000,9.539848
19.737000,9.526171
19.780000,9.512395
19.823000,9.498509
19.866000,9.484504
19.909000,9.470372
19.952000,9.456102
19.995000,9.441686
20.038000,9.427115
20.081000,9.412378
20.124000,9.397469
20.167000,9.382377
20.210000,9.367093
20.253000,9.351610
20.296000,9.335918
20.339000,9.320009
20.382000,9.303875
20.425000,9.287507
20.468000,9.270897
20.511000,9.254037
20.554000,9.236919
20.597000,9.219536
20.640000,9.201879
20.683000,9.183941
20.726000,9.165715
20.769000,9.147194
20.812000,9.128370
20.855000,9.109237
20.898000,9.089788
20.941000,9.070016
20.984000,9.049915
21.027000,9.029479
21.070000,9.008701
21.113000,8.987577
21.156000,8.966100
21.199000,8.944265
21.242000,8.922067
21.285000,8.899501
21.328000,8.876562
21.371000,8.853246
21.414000,8.829548
21.457000,8.805465
21.500000,8.780992
21.543000,8.756126
21.586000,8.730864
21.629000,8.705203
21.672000,8.679140
21.715000,8.652673
21.758000,8.625799
21.801000,8.598517
21.844000,8.570825
21.887000,8.542722
21.930000,8.514206
21.973000,8.485278
22.016000,8.455937
22.059000,8.426183
22.102000,8.396015
22.145000,8.365436
22.188000,8.334446
22.231000,8.303046
22.274000,8.271238
22.317000,8.239025
22.360000,8.206408
22.403000,8.173390
22.446000,8.139976
22.489000,8.106168
22.532000,8.071971
22.575000,8.037389
22.618000,8.002426
22.661000,7.967089
22.704000,7.931383
22.747000,7.895315
22.790000,7.858890
22.833000,7.822116
22.876000,7.785000
22.919000,7.747551
22.962000,7.709776
23.005000,7.671686
23.048000,7.633288
23.091000,7.594595
23.134000,7.555614
23.177000,7.516358
23.220000,7.476839
23.263000,7.437067
23.306000,7.397056
23.349000,7.356819
23.392000,7.316369
23.435000,7.275721
23.478000,7.234889
23.521000,7.193888
23.564000,7.152735
23.607000,7.111445
23.650000,7.070037
23.693000,7.028527
23.736000,6.986934
23.779000,6.945276
23.822000,6.903575
23.865000,6.861848
23.908000,6.820118
23.951000,6.778406
23.994000,6.736733
24.037000,6.695123
24.080000,6.653600
24.123000,6.612186
24.166000,6.570908
24.209000,6.529790
24.252000,6.488860
24.295000,6.448143
24.338000,6.407667
24.381000,6.367462
24.424000,6.327556
24.467000,6.287979
24.510000,6.248762
24.553000,6.209936
24.596000,6.171533
24.639000,6.133588
24.682000,6.096132
24.725000,6.059201
24.768000,6.022831
24.811000,5.987058
24.854000,5.951918
24.897000,5.917450
24.940000,5.883693
24.983000,5.850686
25.026000,5.818470
25.069000,5.787085
25.112000,5.756575
25.155000,5.726983
25.198000,5.698352
25.241000,5.670728
25.284000,5.644157
25.327000,5.618685
25.370000,5.594361
25.413000,5.571232
25.456000,5.549349
25.499000,5.528763
25.542000,5.509525
25.585000,5.491687
25.628000,5.475304
25.671000,5.460431
25.714000,5.447122
25.757000,5.435435
25.800000,5.425427
25.843000,5.417157
25.886000,5.410685
25.929000,5.406073
25.972000,5.403381
26.015000,5.402674
26.058000,5.404015
26.101000,5.407470
26.144000,5.413106
26.187000,5.420989
26.230000,5.431188
26.273000,5.443775
26.316000,5.458818
26.359000,5.476392
26.402000,5.496568
26.445000,5.519422
26.488000,5.545030
26.531000,5.573469
26.574000,5.604816
26.617000,5.639151
26.660000,5.676556
26.703000,5.717111
26.746000,5.760901
26.789000,5.808009
26.832000,5.858522
26.875000,5.912527
26.918000,5.970112
26.961000,6.031366
27.004000,6.096382
27.047000,6.165251
27.090000,6.238068
27.133000,6.314927
27.176000,6.395924
27.219000,6.481159
27.262000,6.570729
27.305000,6.664737
27.348000,6.763283
27.391000,6.866472
27.434000,6.974409
27.477000,7.087200
27.520000,7.204953
27.563000,7.327777
27.606000,7.455784
27.649000,7.589086
27.692000,7.727797
27.735000,7.872032
27.778000,8.021908
27.821000,8.177545
27.864000,8.339061
27.907000,8.506579
27.950000,8.680222
27.993000,8.860115
28.036000,9.046384
28.079000,9.239158
28.122000,9.438566
28.165000,9.644740
28.208000,9.857812
28.251000,10.077918
28.294000,10.305193
28.337000,10.539777
28.380000,10.781808
28.423000,11.031428
28.466000,11.288780
28.509000,11.554010
28.552000,11.827264
28.595000,12.108691
28.638000,12.398441
28.681000,12.696665
28.724000,13.003519
28.767000,13.319157
28.810000,13.643737
28.853000,13.977419
28.896000,14.320364
28.939000,14.672734
28.982000,15.034696
29.025000,15.406415
29.068000,15.788060
29.111000,16.179803
29.154000,16.581816
29.197000,16.994273
29.240000,17.417351
29.283000,17.851228
29.326000,18.296086
29.369000,18.752106
29.412000,19.219473
29.455000,19.698374
29.498000,20.188996
29.541000,20.691532
29.584000,21.206173
29.627000,21.733114
29.670000,22.272552
29.713000,22.824687
29.756000,23.389718
29.799000,23.967850
29.842000,24.559288
29.885000,25.164238
29.928000,25.782912
29.971000,26.415521
30.014000,27.062278
30.057000,27.723401
30.100000,28.399107
30.143000,29.089618
30.186000,29.795157
30.229000,30.515948
30.272000,31.252220
30.315000,32.004202
30.358000,32.772126
30.401000,33.556227
30.444000,34.356743
30.487000,35.173911
30.530000,36.007974
30.573000,36.859175
30.616000,37.727762
30.659000,38.613982
30.702000,39.518087
30.745000,40.440330
30.788000,41.380969
30.831000,42.340260
30.874000,43.318466
30.917000,44.315849
30.960000,45.332677
31.003000,46.369217
31.046000,47.425740
31.089000,48.502520
31.132000,49.599835
31.175000,50.717961
31.218000,51.857181
31.261000,53.017779
31.304000,54.200042
31.347000,55.404258
31.390000,56.630721
31.433000,57.879724
31.476000,59.151564
31.519000,60.446543
31.562000,61.764963
31.605000,63.107129
31.648000,64.473350
31.691000,65.863936
31.734000,67.279202
31.777000,68.719464
31.820000,70.185041
31.863000,71.676257
31.906000,73.193435
31.949000,74.736904
31.992000,76.306996
32.035000,77.904043
32.078000,79.528382
32.121000,81.180353
32.164000,82.860298
32.207000,84.568563
32.250000,86.305497
32.293000,88.071450
32.336000,89.866777
32.379000,91.691836
32.422000,93.546987
32.465000,95.432594
32.508000,97.349023
32.551000,99.296643
32.594000,101.275829
32.637000,103.286955
32.680000,105.330400
32.723000,107.406547
32.766000,109.515782
32.809000,111.658492
32.852000,113.835069
32.895000,116.045908
32.938000,118.291408
32.981000,120.571970
33.024000,122.887998
33.067000,125.239900
33.110000,127.628088
33.153000,130.052976
33.196000,132.514982
33.239000,135.014528
33.282000,137.552037
33.325000,140.127937
33.368000,142.742661
33.411000,145.396643
33.454000,148.090320
33.497000,150.824135
33.540000,153.598533
33.583000,156.413962
33.626000,159.270875
33.669000,162.169726
33.712000,165.110976
33.755000,168.095086
33.798000,171.122523
33.841000,174.193757
33.884000,177.309261
33.927000,180.469512
33.970000,183.674991
34.013000,186.926182
34.056000,190.223574
34.099000,193.567657
34.142000,196.958927
34.185000,200.397884
34.228000,203.885029
34.271000,207.420870
34.314000,211.005918
34.357000,214.640685
34.400000,218.325691
34.443000,222.061457
34.486000,225.848509
34.529000,229.687375
34.572000,233.578590
34.615000,237.522691
34.658000,241.520219
34.701000,245.571720
34.744000,249.677741
34.787000,253.838837
34.830000,258.055565
34.873000,262.328484
34.916000,266.658162
34.959000,271.045166
35.002000,275.490071
35.045000,279.993452
35.088000,284.555892
35.131000,289.177977
35.174000,293.860295
35.217000,298.603441
35.260000,303.408012
35.303000,308.274611
35.346000,313.203845
35.389000,318.196323
35.432000,323.252660
35.475000,328.373477
35.518000,333.559396
35.561000,338.811044
35.604000,344.129055
35.647000,349.514064
35.690000,354.966712
35.733000,360.487644
35.776000,366.077510
35.819000,371.736964
35.862000,377.466664
35.905000,383.267273
35.948000,389.139458
35.991000,395.083892
36.034000,401.101250
36.077000,407.192213
36.120000,413.357467
36.163000,419.597702
36.206000,425.913612
36.249000,432.305897
36.292000,438.775260
36.335000,445.322410
36.378000,451.948060
36.421000,458.652929
36.464000,465.437737
36.507000,472.303214
36.550000,479.250090
36.593000,486.279103
36.636000,493.390995
36.679000,500.586511
36.722000,507.866403
36.765000,515.231427
36.808000,522.682344
36.851000,530.219920
36.894000,537.844925
36.937000,545.558136
36.980000,553.360332
37.023000,561.252301
37.066000,569.234831
37.109000,577.308719
37.152000,585.474766
37.195000,593.733776
37.238000,602.086562
37.281000,610.533938
37.324000,619.076726
37.367000,627.715751
