x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
0.570000 0.000000 0.184900 2.044900 5.904900 0.184900 1.860000 3.860000 0.837550 1.000000 0.054150
0.580000 0.000000 0.176400 2.016400 5.856400 0.176400 1.840000 3.840000 0.831800 1.000000 0.056067
0.590000 0.000000 0.168100 1.988100 5.808100 0.168100 1.820000 3.820000 0.825950 1.000000 0.058017
0.600000 0.000000 0.160000 1.960000 5.760000 0.160000 1.800000 3.800000 0.820000 1.000000 0.060000
0.610000 0.000000 0.152100 1.932100 5.712100 0.152100 1.780000 3.780000 0.813950 1.000000 0.062017
0.620000 0.000000 0.144400 1.904400 5.664400 0.144400 1.760000 3.760000 0.807800 1.000000 0.064067
0.630000 0.000000 0.136900 1.876900 5.616900 0.136900 1.740000 3.740000 0.801550 1.000000 0.066150
0.640000 0.000000 0.129600 1.849600 5.569600 0.129600 1.720000 3.720000 0.795200 1.000000 0.068267
0.650000 0.000000 0.122500 1.822500 5.522500 0.122500 1.700000 3.700000 0.788750 1.000000 0.070417
0.660000 0.000000 0.115600 1.795600 5.475600 0.115600 1.680000 3.680000 0.782200 1.000000 0.072600
0.670000 0.000000 0.108900 1.768900 5.428900 0.108900 1.660000 3.660000 0.775550 1.000000 0.074817
0.680000 0.000000 0.102400 1.742400 5.382400 0.102400 1.640000 3.640000 0.768800 1.000000 0.077067
0.690000 0.000000 0.096100 1.716100 5.336100 0.096100 1.620000 3.620000 0.761950 1.000000 0.079350
0.700000 0.000000 0.090000 1.690000 5.290000 0.090000 1.600000 3.600000 0.755000 1.000000 0.081667
0.710000 0.000000 0.084100 1.664100 5.244100 0.084100 1.580000 3.580000 0.747950 1.000000 0.084017
0.720000 0.000000 0.078400 1.638400 5.198400 0.078400 1.560000 3.560000 0.740800 1.000000 0.086400
0.730000 0.000000 0.072900 1.612900 5.152900 0.072900 1.540000 3.540000 0.733550 1.000000 0.088817
0.740000 0.000000 0.067600 1.587600 5.107600 0.067600 1.520000 3.520000 0.726200 1.000000 0.091267
0.750000 0.000000 0.062500 1.562500 5.062500 0.062500 1.500000 3.500000 0.718750 1.000000 0.093750
0.760000 0.000000 0.057600 1.537600 5.017600 0.057600 1.480000 3.480000 0.711200 1.000000 0.096267
0.770000 0.000000 0.052900 1.512900 4.972900 0.052900 1.460000 3.460000 0.703550 1.000000 0.098817
0.780000 0.000000 0.048400 1.488400 4.928400 0.048400 1.440000 3.440000 0.695800 1.000000 0.101400
0.790000 0.000000 0.044100 1.464100 4.884100 0.044100 1.420000 3.420000 0.687950 1.000000 0.104017
0.800000 0.000000 0.040000 1.440000 4.840000 0.040000 1.400000 3.400000 0.680000 1.000000 0.106667
0.810000 0.000000 0.036100 1.416100 4.796100 0.036100 1.380000 3.380000 0.671950 1.000000 0.109350
0.820000 0.000000 0.032400 1.392400 4.752400 0.032400 1.360000 3.360000 0.663800 1.000000 0.112067
0.830000 0.000000 0.028900 1.368900 4.708900 0.028900 1.340000 3.340000 0.655550 1.000000 0.114817
0.840000 0.000000 0.025600 1.345600 4.665600 0.025600 1.320000 3.320000 0.647200 1.000000 0.117600
0.850000 0.000000 0.022500 1.322500 4.622500 0.022500 1.300000 3.300000 0.638750 1.000000 0.120417
0.860000 0.000000 0.019600 1.299600 4.579600 0.019600 1.280000 3.280000 0.630200 1.000000 0.123267
0.870000 0.000000 0.016900 1.276900 4.536900 0.016900 1.260000 3.260000 0.621550 1.000000 0.126150
0.880000 0.000000 0.014400 1.254400 4.494400 0.014400 1.240000 3.240000 0.612800 1.000000 0.129067
0.890000 0.000000 0.012100 1.232100 4.452100 0.012100 1.220000 3.220000 0.603950 1.000000 0.132017
0.900000 0.000000 0.010000 1.210000 4.410000 0.010000 1.200000 3.200000 0.595000 1.000000 0.135000
0.910000 0.000000 0.008100 1.188100 4.368100 0.008100 1.180000 3.180000 0.585950 1.000000 0.138017
