t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.08 0.666401 0.355653 0.647639 0.657887 0.370075 0.654923
0.081 0.663471 0.35853 0.64955 0.654569 0.372671 0.657019
0.082 0.660514 0.361348 0.651483 0.651213 0.375191 0.65914
0.083 0.657528 0.364107 0.653438 0.647819 0.377634 0.661287
0.084 0.654514 0.366806 0.655414 0.644386 0.38 0.663458
0.085 0.651472 0.369445 0.657413 0.640913 0.382287 0.665655
0.086 0.648401 0.372022 0.659433 0.637401 0.384495 0.667878
0.087 0.6453 0.374537 0.661476 0.633847 0.386623 0.670128
0.088 0.64217 0.376989 0.663542 0.630253 0.388669 0.672404
0.089 0.639009 0.379378 0.665632 0.626618 0.390633 0.674706
0.09 0.635819 0.381703 0.667744 0.62294 0.392514 0.677036
0.091 0.632597 0.383962 0.66988 0.61922 0.394311 0.679394
0.092 0.629345 0.386156 0.67204 0.615458 0.396023 0.681779
0.093 0.626061 0.388283 0.674224 0.611652 0.397649 0.684192
0.094 0.622745 0.390344 0.676432 0.607802 0.399188 0.686634
0.095 0.619398 0.392336 0.678666 0.603909 0.40064 0.689105
0.096 0.616017 0.39426 0.680924 0.59997 0.402002 0.691604
0.097 0.612605 0.396115 0.683207 0.595987 0.403276 0.694132
0.098 0.609159 0.397899 0.685515 0.591961 0.404462 0.696688
0.099 0.605679 0.399613 0.68785 0.587892 0.405561 0.699272
0.1 0.602166 0.401255 0.69021 0.583782 0.406573 0.701882
0.101 0.598619 0.402826 0.692596 0.579632 0.4075 0.704518
0.102 0.595039 0.404324 0.695008 0.575442 0.408341 0.707179
0.103 0.591425 0.405751 0.697445 0.571214 0.409099 0.709865
0.104 0.587779 0.407106 0.699907 0.566948 0.409773 0.712575
0.105 0.584102 0.408391 0.702392 0.562646 0.410365 0.715307
0.106 0.580393 0.409604 0.7049 0.558308 0.410874 0.718063
0.107 0.576654 0.410747 0.70743 0.553936 0.411303 0.720839
0.108 0.572884 0.41182 0.709982 0.549531 0.411651 0.723637
0.109 0.569085 0.412823 0.712555 0.545093 0.41192 0.726455
0.11 0.565258 0.413756 0.715149 0.540623 0.41211 0.729293
0.111 0.561402 0.41462 0.717763 0.536123 0.412222 0.732149
0.112 0.557519 0.415415 0.720396 0.531594 0.412257 0.735024
0.113 0.553608 0.416141 0.723047 0.527035 0.412215 0.737916
0.114 0.549671 0.416798 0.725717 0.52245 0.412098 0.740825
0.115 0.545708 0.417387 0.728404 0.517837 0.411905 0.74375
0.116 0.54172 0.417908 0.731107 0.5132 0.411639 0.74669
0.117 0.537707 0.418362 0.733827 0.508537 0.411299 0.749645
0.118 0.53367 0.418748 0.736561 0.503851 0.410886 0.752614
0.119 0.52961 0.419066 0.739311 0.499142 0.410402 0.755596
0.12 0.525527 0.419318 0.742075 0.494412 0.409846 0.75859
0.121 0.521421 0.419504 0.744852 0.489661 0.40922 0.761596
0.122 0.517293 0.419623 0.747643 0.484891 0.408524 0.764614
0.123 0.513145 0.419676 0.750445 0.480102 0.40776 0.767641
0.124 0.508975 0.419663 0.753259 0.475295 0.406927 0.770679
0.125 0.504786 0.419585 0.756084 0.470471 0.406028 0.773725
0.126 0.500578 0.419441 0.758919 0.465632 0.405061 0.77678
0.127 0.49635 0.419233 0.761764 0.460778 0.404029 0.779842
0.128 0.492104 0.41896 0.764618 0.45591 0.402932 0.782912
0.129 0.487841 0.418623 0.767481 0.45103 0.401771 0.785987
0.13 0.483561 0.418221 0.770351 0.446138 0.400546 0.789068
0.131 0.479264 0.417756 0.773228 0.441235 0.399258 0.792153
0.132 0.474951 0.417227 0.776112 0.436322 0.397909 0.795243
0.133 0.470623 0.416635 0.779002 0.431401 0.396498 0.798336
0.134 0.46628 0.41598 0.781897 0.426472 0.395027 0.801431
0.135 0.461923 0.415263 0.784796 0.421536 0.393496 0.804528
0.136 0.457553 0.414483 0.7877 0.416594 0.391907 0.807627
