x exact spline1 spline2
0.11022 0.987997 0.989215 0.886198
0.130261 0.983315 0.985085 0.884452
0.150301 0.977909 0.980341 0.882414
0.170341 0.971802 0.975002 0.880085
0.190381 0.965023 0.969091 0.877466
0.210421 0.9576 0.962627 0.874555
0.230461 0.949566 0.955634 0.871353
0.250501 0.940954 0.94813 0.86786
0.270541 0.931799 0.940138 0.864076
0.290581 0.922137 0.931679 0.86
0.310621 0.912005 0.922773 0.855634
0.330661 0.901439 0.913441 0.850977
0.350701 0.890479 0.903706 0.846028
0.370741 0.87916 0.893586 0.840789
0.390782 0.867521 0.883105 0.835258
0.410822 0.855597 0.872282 0.829436
0.430862 0.843425 0.861139 0.823324
0.450902 0.831039 0.849697 0.81692
0.470942 0.818474 0.837976 0.810225
0.490982 0.805761 0.825999 0.803239
0.511022 0.792931 0.813785 0.795962
0.531062 0.780015 0.801356 0.7884
0.551102 0.76704 0.788734 0.780565
0.571142 0.754032 0.775938 0.772467
0.591182 0.741017 0.762991 0.764118
0.611222 0.728018 0.749912 0.755529
0.631263 0.715056 0.736724 0.746712
0.651303 0.702151 0.723447 0.737676
0.671343 0.689322 0.710103 0.728435
0.691383 0.676585 0.696711 0.718998
0.711423 0.663957 0.683294 0.709378
0.731463 0.65145 0.669873 0.699584
0.751503 0.639077 0.656468 0.68963
0.771543 0.62685 0.6431 0.679525
0.791583 0.614778 0.629791 0.669281
0.811623 0.60287 0.616561 0.65891
0.831663 0.591134 0.603432 0.648422
0.851703 0.579576 0.590425 0.637829
0.871743 0.568202 0.57756 0.627141
0.891784 0.557017 0.564859 0.616371
0.911824 0.546024 0.552343 0.60553
0.931864 0.535226 0.540032 0.594627
0.951904 0.524626 0.527949 0.583676
0.971944 0.514225 0.516113 0.572687
0.991984 0.504024 0.504547 0.561671
1.01202 0.494024 0.493269 0.55064
1.03206 0.484225 0.482286 0.539605
1.0521 0.474626 0.471594 0.528576
1.07214 0.465226 0.461186 0.517566
1.09218 0.456024 0.451059 0.506585
1.11222 0.447019 0.441205 0.495645
1.13226 0.438208 0.431621 0.484756
1.1523 0.429589 0.422302 0.473931
1.17234 0.42116 0.413241 0.463181
1.19238 0.412919 0.404434 0.452515
1.21242 0.404863 0.395876 0.441947
1.23246 0.396988 0.387562 0.431487
1.25251 0.389292 0.379486 0.421146
1.27255 0.381771 0.371642 0.410935
1.29259 0.374423 0.364027 0.400866
1.31263 0.367244 0.356635 0.39095
1.33267 0.360231 0.34946 0.381198
1.35271 0.35338 0.342498 0.371622
1.37275 0.346689 0.335743 0.362232
1.39279 0.340153 0.329189 0.353041
1.41283 0.33377 0.322833 0.344058
1.43287 0.327535 0.316669 0.335295
1.45291 0.321447 0.310691 0.326764
1.47295 0.3155 0.304894 0.318476
1.49299 0.309693 0.299274 0.310442
1.51303 0.304021 0.293824 0.302672
1.53307 0.298481 0.28854 0.295168
1.55311 0.293071 0.283417 0.287924
1.57315 0.287787 0.27845 0.280934
1.59319 0.282626 0.273632 0.274193
1.61323 0.277585 0.26896 0.267695
1.63327 0.272661 0.264427 0.261435
1.65331 0.267851 0.26003 0.255407
1.67335 0.263152 0.255762 0.249606
1.69339 0.258561 0.251618 0.244026
1.71343 0.254076 0.247593 0.238661
1.73347 0.249694 0.243683 0.233507
1.75351 0.245412 0.239881 0.228556
1.77355 0.241227 0.236183 0.223805
1.79359 0.237138 0.232583 0.219246
1.81363 0.233141 0.229076 0.214876
1.83367 0.229235 0.225658 0.210687
1.85371 0.225417 0.222323 0.206675
1.87375 0.221684 0.219065 0.202835
1.89379 0.218034 0.21588 0.199159
1.91383 0.214466 0.212762 0.195644
1.93387 0.210977 0.209707 0.192282
1.95391 0.207566 0.206708 0.18907
1.97395 0.204229 0.203762 0.186001
1.99399 0.200965 0.200862 0.183069
2.01403 0.197773 0.198003 0.18027
2.03407 0.19465 0.195185 0.177597
2.05411 0.191594 0.192406 0.175045
2.07415 0.188605 0.189666 0.172609
2.09419 0.185679 0.186964 0.170282
2.11423 0.182817 0.184302 0.16806
2.13427 0.180015 0.181677 0.165936
2.15431 0.177272 0.17909 0.163905
2.17435 0.174587 0.17654 0.161963
2.19439 0.171959 0.174028 0.160102
2.21443 0.169385 0.171552 0.158318
2.23447 0.166865 0.169113 0.156604
2.25451 0.164398 0.16671 0.154956
2.27455 0.161981 0.164342 0.153368
2.29459 0.159613 0.162011 0.151834
2.31463 0.157294 0.159714 0.150349
2.33467 0.155022 0.157452 0.148907
