x exact spline
-0.641642 0.0885536 0.0885535
-0.63964 0.0890593 0.0890593
-0.637638 0.0895693 0.0895692
-0.635636 0.0900835 0.0900834
-0.633634 0.090602 0.0906019
-0.631632 0.0911248 0.0911248
-0.62963 0.091652 0.091652
-0.627628 0.0921836 0.0921836
-0.625626 0.0927198 0.0927198
-0.623624 0.0932604 0.0932604
-0.621622 0.0938057 0.0938057
-0.61962 0.0943555 0.0943555
-0.617618 0.0949101 0.0949101
-0.615616 0.0954694 0.0954693
-0.613614 0.0960334 0.0960334
-0.611612 0.0966023 0.0966023
-0.60961 0.0971761 0.0971761
-0.607608 0.0977548 0.0977548
-0.605606 0.0983385 0.0983385
-0.603604 0.0989273 0.0989273
-0.601602 0.0995212 0.0995212
-0.5996 0.10012 0.10012
-0.597598 0.100724 0.100724
-0.595596 0.101334 0.101334
-0.593594 0.101949 0.101949
-0.591592 0.102569 0.102569
-0.58959 0.103195 0.103195
-0.587588 0.103826 0.103826
-0.585586 0.104463 0.104463
-0.583584 0.105106 0.105106
-0.581582 0.105754 0.105754
-0.57958 0.106408 0.106408
-0.577578 0.107068 0.107068
-0.575576 0.107733 0.107733
-0.573574 0.108405 0.108405
-0.571572 0.109083 0.109083
-0.56957 0.109767 0.109767
-0.567568 0.110457 0.110457
-0.565566 0.111153 0.111153
-0.563564 0.111856 0.111856
-0.561562 0.112565 0.112565
-0.55956 0.11328 0.11328
-0.557558 0.114002 0.114002
-0.555556 0.114731 0.114731
-0.553554 0.115466 0.115466
-0.551552 0.116208 0.116208
-0.54955 0.116957 0.116957
-0.547548 0.117713 0.117713
-0.545546 0.118476 0.118476
-0.543544 0.119247 0.119246
-0.541542 0.120024 0.120024
-0.53954 0.120808 0.120808
-0.537538 0.1216 0.1216
-0.535536 0.1224 0.1224
-0.533534 0.123207 0.123207
-0.531532 0.124021 0.124021
-0.52953 0.124843 0.124843
-0.527528 0.125673 0.125673
-0.525526 0.126511 0.126511
-0.523524 0.127357 0.127357
-0.521522 0.128211 0.128211
-0.51952 0.129074 0.129074
-0.517518 0.129944 0.129944
-0.515516 0.130823 0.130823
-0.513514 0.131711 0.131711
-0.511512 0.132607 0.132607
-0.50951 0.133511 0.133511
-0.507508 0.134425 0.134425
-0.505506 0.135347 0.135347
-0.503504 0.136279 0.136279
-0.501502 0.13722 0.137219
-0.499499 0.138169 0.138169
-0.497497 0.139129 0.139129
-0.495495 0.140097 0.140097
-0.493493 0.141076 0.141076
-0.491491 0.142064 0.142064
-0.489489 0.143062 0.143061
-0.487487 0.144069 0.144069
-0.485485 0.145087 0.145087
-0.483483 0.146115 0.146115
-0.481481 0.147154 0.147154
-0.479479 0.148203 0.148203
-0.477477 0.149262 0.149262
-0.475475 0.150332 0.150332
-0.473473 0.151414 0.151414
-0.471471 0.152506 0.152506
-0.469469 0.153609 0.153609
-0.467467 0.154723 0.154723
-0.465465 0.155849 0.155849
-0.463463 0.156987 0.156987
-0.461461 0.158136 0.158136
-0.459459 0.159297 0.159297
-0.457457 0.16047 0.16047
-0.455455 0.161656 0.161656
-0.453453 0.162853 0.162853
-0.451451 0.164063 0.164063
-0.449449 0.165286 0.165286
-0.447447 0.166522 0.166521
-0.445445 0.16777 0.16777
-0.443443 0.169032 0.169032
-0.441441 0.170307 0.170306
-0.439439 0.171595 0.171595
-0.437437 0.172897 0.172897
-0.435435 0.174213 0.174213
-0.433433 0.175543 0.175543
-0.431431 0.176887 0.176887
-0.429429 0.178245 0.178245
-0.427427 0.179619 0.179618
-0.425425 0.181006 0.181006
-0.423423 0.182409 0.182409
-0.421421 0.183827 0.183827
-0.419419 0.18526 0.18526
-0.417417 0.186709 0.186709
-0.415415 0.188173 0.188173
-0.413413 0.189654 0.189654
-0.411411 0.19115 0.19115
-0.409409 0.192663 0.192663
-0.407407 0.194193 0.194193
-0.405405 0.195739 0.195739
-0.403403 0.197303 0.197303
-0.401401 0.198883 0.198883
-0.399399 0.200481 0.200481
-0.397397 0.202097 0.202097
-0.395395 0.203731 0.203731
-0.393393 0.205383 0.205383
-0.391391 0.207053 0.207053
-0.389389 0.208742 0.208742
-0.387387 0.21045 0.21045
-0.385385 0.212177 0.212177
-0.383383 0.213923 0.213923
-0.381381 0.21569 0.215689
-0.379379 0.217476 0.217475
-0.377377 0.219282 0.219282
-0.375375 0.221108 0.221108
-0.373373 0.222956 0.222956
-0.371371 0.224824 0.224824
-0.369369 0.226714 0.226714
-0.367367 0.228625 0.228625
